filename,sheet_name,file_year,project_name,gate_number,sku_name,sku_name,Market,list_price_AUD,forecast_volume_y1,forecast_volume_y2,forecast_volume_y3,forecast_net_sales_y1,forecast_net_sales_y2,forecast_net_sales_y3,launchyr_coop_listingfees_y1,launchyr_coop_listingfees_y2,launchyr_coop_listingfees_y3,one_time_costs_y1,one_time_costs_y2,one_time_costs_y3
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_HK,Difflam Kids Soothing Throat Pops 8s Strawberry,HK,5.480679553060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_TH,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,TH,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_TH,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,TH,1.6,60000.0,156000.0,187200.0,27200.0,174720.0,209664.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_TH,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,TH,1.6,40000.0,104000.0,124800.0,4800.0,116480.0,139776.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_TH,Difflam Kids Soothing Throat Pops 8s Strawberry,TH,5.05,50000.0,100000.0,120000.0,136750.0,353500.0,424200.0,40000.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine Ready to Use Gargle 200mL_Australia,Betadine Ready to Use Gargle 200mL,Australia,14.93,20000.0,115000.0,115500.0,169090.0,1116017.5,1120869.75,25000.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine Ready to Use Gargle 60mL_Australia,Betadine Ready to Use Gargle 60mL,Australia,7.16,8000.0,85000.0,85250.0,37232.0,395590.0,396753.5,0.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine Antiseptic Solution 500mL_Australia,Betadine Antiseptic Solution 500mL,Australia,20.74,10000.0,25000.0,25500.0,134810.0,337025.0,343765.5,0.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine antiseptic cream 45g_Australia,Betadine antiseptic cream 45g,Australia,12.83,10000.0,38400.0,39000.0,83395.0,320236.80000000005,325240.5,0.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine Ready to Use Gargle 200mL_NZ,Betadine Ready to Use Gargle 200mL,NZ,16.423000000000002,2000.0,15000.0,15500.0,21349.9,160124.25000000003,165461.72500000003,0.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine Ready to Use Gargle 60mL_NZ,Betadine Ready to Use Gargle 60mL,NZ,7.876000000000001,800.0,8500.0,8525.0,4095.520000000001,43514.90000000001,43642.88500000001,0.0,,,0.0,,
G1 P&L- Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G1,Betadine antiseptic cream 45g_NZ,Betadine antiseptic cream 45g,NZ,14.113000000000001,1000.0,3850.0,3900.0,9173.45,35317.7825,35776.455,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine Ready to Use Gargle 200mL_Australia,Betadine Ready to Use Gargle 200mL,Australia,14.93,20000.0,115000.0,115500.0,176174.0,1013000.5,1017404.8500000001,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine Ready to Use Gargle 60mL_Australia,Betadine Ready to Use Gargle 60mL,Australia,7.16,8000.0,85000.0,85250.0,33795.2,359074.0,360130.1,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine Antiseptic Solution 500mL_Australia,Betadine Antiseptic Solution 500mL,Australia,20.74,10000.0,25000.0,25500.0,159697.99999999997,399244.99999999994,407229.9,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine antiseptic cream 45g_Australia,Betadine antiseptic cream 45g,Australia,12.83,10000.0,38400.0,39000.0,98791.0,379357.44,385284.9,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine Ready to Use Gargle 200mL_NZ,Betadine Ready to Use Gargle 200mL,NZ,16.423000000000002,2000.0,11500.0,11550.0,21349.9,122761.92500000002,123295.67250000002,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine Ready to Use Gargle 60mL_NZ,Betadine Ready to Use Gargle 60mL,NZ,7.876000000000001,800.0,8500.0,8525.0,4095.520000000001,43514.90000000001,43642.88500000001,0.0,,,0.0,,
G2 P&L - Rusty - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Rusty,G2,Betadine antiseptic cream 45g_NZ,Betadine antiseptic cream 45g,NZ,14.113000000000001,1000.0,3840.0,3900.0,9173.45,35226.04800000001,35776.455,0.0,,,0.0,,
G3 P&L - Hulk - AU - CANZ - Reno (P).xlsm,Project Summary,,Hulk,G3,Difflam +anaes Loz Blackcurrant 32_Australia,Difflam +anaes Loz Blackcurrant 32,Australia,14.58,114834.0,98525.68000000001,101481.45040000002,954339.4404,818807.5162080001,843371.7416942401,0.0,,,0.0,,
G3 P&L - Hulk - AU - CANZ - Reno (P).xlsm,Project Summary,,Hulk,G3,Difflam Reg Loz Strawberry 32_Australia,Difflam Reg Loz Strawberry 32,Australia,10.33,114633.0,100560.96,103577.78880000001,674970.5673,592112.9885760001,609876.37823328,0.0,,,0.0,,
G4 P&L - Colossus (Phase 2) - AU - CANZ - Reno (F).xlsm,Project Summary,,Colossus (Phase 2),G4,Demazin Allergy and Hay Fever 110 _Australia,Demazin Allergy and Hay Fever 110 ,Australia,36.99,67431.0,95899.0,105728.70000000001,823109.9876999999,1170610.3232999998,1290598.5222900002,0.0,,,148633.0,,
G4 P&L - Colossus (Phase 2) - AU - CANZ - Reno (F).xlsm,Project Summary,,Colossus (Phase 2),G4,Demazin Allergy and Hay Fever 80_Australia,Demazin Allergy and Hay Fever 80,Australia,30.8,4043.0,7552.0,7929.6,41093.051999999996,76758.52799999999,80596.45439999999,0.0,,,0.0,,
G1 P&L - Pain - AU - CANZ - Reno (P).xlsm,Project Summary,,Pain,G1,Norflex 30 Pack_Australia,Norflex 30 Pack,Australia,15,37014.0,45671.0,70788.0,555210.0,685065.0,1061820.0,0.0,,,0.0,,
G2 P&L - Cosmos - AU - CANZ - Inno (I-L) - No Halo.xlsm,Project Summary,,Cosmos,G2,Brand site Retreive One 1% Retinol Cream Serum  30mL_Australia,Brand site Retreive One 1% Retinol Cream Serum  30mL,Australia,45.99,4000.0,9000.0,11000.0,180280.8,405631.8,495772.2,0.0,,,20000.0,,
G4 P&L - Hulk - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Hulk,G4,Difflam +anaes Loz Blackcurrant 32_Australia,Difflam +anaes Loz Blackcurrant 32,Australia,14.58,114347.0,98024.07,100964.7921,950292.1782,814638.836142,839078.00122626,0.0,,,0.0,,
G4 P&L - Hulk - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Hulk,G4,Difflam Reg Loz Strawberry 32_Australia,Difflam Reg Loz Strawberry 32,Australia,10.33,67659.0,57325.68,59045.4504,398382.9579,337539.336408,347665.51650024,0.0,,,0.0,,
G4 P&L - Hulk - AU NZ - CANZ - Exp (P).xlsm,Project Summary,,Hulk,G4,Difflam +anaes Loz Blackcurrant 32_NZ,Difflam +anaes Loz Blackcurrant 32,NZ,10,4783.0,4926.0,5074.0,47830.0,49260.0,50740.0,0.0,,,0.0,,
G2 P&L - Cosmos - AU - CANZ - Inno (I-L) - With Halo.xlsm,Project Summary,,Cosmos,G2,Brand site Retreive One 1% Retinol Cream Serum  30mL_Australia,Brand site Retreive One 1% Retinol Cream Serum  30mL,Australia,45.99,4000.0,9000.0,11000.0,180280.8,405631.8,495772.2,0.0,,,20000.0,,
